"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","voc","voc_a","voc_b","pm2_5_atm","pm2_5_atm_a","pm2_5_atm_b","pm10_0_atm","pm10_0_atm_a","pm10_0_atm_b","sensor_id"
2023-12-01,55,55,NA,80,80,NA,NA,NA,NA,35.3,36,34.5,40.6,41.4,39.8,"180119"
2024-01-01,53,53,NA,84,84,NA,NA,NA,NA,27.5,27.9,27.1,30.2,30.5,29.9,"180119"
2024-02-01,50,50,NA,87,87,NA,NA,NA,NA,25.1,25.8,24.3,27.4,28.1,26.7,"180119"
2024-03-01,51,51,NA,86,86,NA,NA,NA,NA,26.9,27.6,26.2,29.7,30.4,28.9,"180119"
2024-04-01,52,52,NA,83,83,NA,NA,NA,NA,31.5,30.9,32,35.6,34.9,36.4,"180119"
2024-05-01,60,60,NA,74,74,NA,NA,NA,NA,48,48.7,47.3,56.3,57,55.6,"180119"
2024-06-01,63,63,NA,69,69,NA,NA,NA,NA,51.3,52.2,50.4,60.9,61.9,59.9,"180119"
2024-07-01,62,62,NA,69,69,NA,NA,NA,NA,44.1,46,42.1,52.8,55.1,50.5,"180119"
2024-08-01,62,62,NA,68,68,NA,NA,NA,NA,43.5,44.4,42.7,52.2,53.2,51.2,"180119"
2024-09-01,60,60,NA,70,70,NA,NA,NA,NA,41.1,42,40.2,49,50.1,47.9,"180119"
2024-10-01,56,56,NA,74,74,NA,NA,NA,NA,35,35.6,34.4,40.6,41.3,39.9,"180119"
2024-11-01,55,55,NA,76,76,NA,NA,NA,NA,27.9,28.6,27.1,31.2,32,30.3,"180119"
2024-12-01,53,53,NA,79,79,NA,NA,NA,NA,27.2,27.1,27.3,30.2,30,30.4,"180119"
2025-01-01,52,52,NA,82,82,NA,NA,NA,NA,24.2,23.7,24.6,26.4,25.8,26.9,"180119"
2025-02-01,51,51,NA,86,86,NA,NA,NA,NA,23.5,23.9,23.1,25.8,26.1,25.5,"180119"
2025-03-01,49,49,NA,86,86,NA,NA,NA,NA,23.4,23.7,23,25.8,26.1,25.5,"180119"
2025-04-01,52,52,NA,81,81,NA,NA,NA,NA,27.4,28.2,26.7,30.6,31.4,29.9,"180119"
2025-05-01,57,57,NA,75,75,NA,NA,NA,NA,37,40.5,33.4,43.4,47.8,39.1,"180119"
2025-06-01,64,64,NA,71,71,NA,NA,NA,NA,34.5,37.8,31.2,40.6,44.6,36.6,"180119"
2025-07-01,61,61,NA,70,70,NA,NA,NA,NA,37.2,40.9,33.5,44.3,48.9,39.8,"180119"
2025-08-01,61,61,NA,69,69,NA,NA,NA,NA,33.3,37,29.7,39.1,43.7,34.6,"180119"
2025-09-01,59,59,NA,70,70,NA,NA,NA,NA,30.5,33,28,35.5,38.5,32.5,"180119"
2025-10-01,56,56,NA,74,74,NA,NA,NA,NA,27.7,30.6,24.8,31.8,35.2,28.4,"180119"
2025-11-01,53,53,NA,77,77,NA,NA,NA,NA,24.9,26.9,23,28,30.2,25.9,"180119"
2025-12-01,54,54,NA,78,78,NA,NA,NA,NA,26.4,28.5,24.2,29.7,32.1,27.3,"180119"
