"outcome","exposure_var","model","term","estimate","conf.low","conf.high","p.value"
"RUDAS","PM10","Unadjusted","PM10 (per SD)",0.435,-0.103,0.973,0.117
"RUDAS","PM2.5","Age & sex adjusted","PM2.5 (per SD)",0.356,-0.207,0.919,0.218
"RUDAS","PM2.5","Age & sex adjusted","Age",0.004,-0.113,0.121,0.949
"RUDAS","PM2.5","Age & sex adjusted","Sex (Male)",0,-1.497,1.497,1
"RUDAS","PM2.5","Fully adjusted","PM2.5 (per SD)",0.291,-0.159,0.741,0.21
"RUDAS","PM2.5","Fully adjusted","Age",0.035,-0.095,0.165,0.601
"RUDAS","PM2.5","Fully adjusted","Sex (Male)",-1.342,-2.852,0.168,0.086
"RUDAS","PM2.5","Fully adjusted","SES: NSE D",0.817,-2.411,4.045,0.621
"RUDAS","PM2.5","Fully adjusted","SES: NSE C",1.263,-1.867,4.393,0.432
"RUDAS","PM2.5","Fully adjusted","SES: NSE B",1.236,-1.779,4.251,0.424
"RUDAS","PM2.5","Fully adjusted","SES: NSE A (Highest)",1.83,-1.261,4.921,0.25
"RUDAS","PM2.5","Fully adjusted","bmi",0.004,-0.098,0.105,0.946
"RUDAS","PM2.5","Fully adjusted","education_catprimary",0.162,-2.495,2.82,0.905
"RUDAS","PM2.5","Fully adjusted","education_catsecondary_or_higher",-0.732,-3.045,1.582,0.537
"RUDAS","PM2.5","Fully adjusted","civil_stat_catsingle",1.589,-0.507,3.685,0.142
"RUDAS","PM2.5","Fully adjusted","civil_stat_catseparated_widowed",0.172,-1.387,1.732,0.829
"RUDAS","PM2.5","Fully adjusted","occupation_cathomemaker",-3.1,-5.664,-0.537,0.021
"RUDAS","PM2.5","Fully adjusted","occupation_catnot_employed",-0.755,-2.412,0.902,0.375
"RUDAS","PM2.5","Fully adjusted","htn_cathypertension",0.193,-1.161,1.548,0.78
"RUDAS","PM2.5","Fully adjusted","glucose_catPrediabetes",0.238,-1.615,2.091,0.802
"RUDAS","PM2.5","Fully adjusted","glucose_catDiabetes",-0.253,-2.141,1.636,0.794
"RUDAS","PM2.5","Fully adjusted","chronic_disSí",-2.02,-3.502,-0.538,0.009
"RUDAS","PM2.5","Unadjusted","PM2.5 (per SD)",0.356,-0.193,0.905,0.207
"RUDAS","Temperature","Age & sex adjusted","Temperature (per SD)",-0.42,-1.02,0.181,0.175
"RUDAS","Temperature","Age & sex adjusted","Age",0.005,-0.112,0.122,0.931
"RUDAS","Temperature","Age & sex adjusted","Sex (Male)",0.002,-1.49,1.493,0.998
"RUDAS","Temperature","Fully adjusted","Temperature (per SD)",-0.375,-0.88,0.13,0.15
"RUDAS","Temperature","Fully adjusted","Age",0.035,-0.096,0.166,0.604
"RUDAS","Temperature","Fully adjusted","Sex (Male)",-1.39,-2.902,0.123,0.076
"RUDAS","Temperature","Fully adjusted","SES: NSE D",0.739,-2.485,3.963,0.655
"RUDAS","Temperature","Fully adjusted","SES: NSE C",1.22,-1.937,4.377,0.451
"RUDAS","Temperature","Fully adjusted","SES: NSE B",1.222,-1.798,4.241,0.43
"RUDAS","Temperature","Fully adjusted","SES: NSE A (Highest)",1.776,-1.423,4.974,0.28
"RUDAS","Temperature","Fully adjusted","bmi",0.004,-0.099,0.107,0.938
"RUDAS","Temperature","Fully adjusted","education_catprimary",0.265,-2.333,2.864,0.842
"RUDAS","Temperature","Fully adjusted","education_catsecondary_or_higher",-0.585,-2.829,1.659,0.611
"RUDAS","Temperature","Fully adjusted","civil_stat_catsingle",1.63,-0.456,3.717,0.13
"RUDAS","Temperature","Fully adjusted","civil_stat_catseparated_widowed",0.151,-1.407,1.708,0.85
"RUDAS","Temperature","Fully adjusted","occupation_cathomemaker",-3.206,-5.781,-0.631,0.017
"RUDAS","Temperature","Fully adjusted","occupation_catnot_employed",-0.729,-2.401,0.942,0.395
"RUDAS","Temperature","Fully adjusted","htn_cathypertension",0.18,-1.148,1.509,0.791
"RUDAS","Temperature","Fully adjusted","glucose_catPrediabetes",0.103,-1.769,1.975,0.914
"RUDAS","Temperature","Fully adjusted","glucose_catDiabetes",-0.332,-2.241,1.577,0.734
"RUDAS","Temperature","Fully adjusted","chronic_disSí",-1.939,-3.469,-0.409,0.015
"RUDAS","Temperature","Unadjusted","Temperature (per SD)",-0.419,-1.006,0.169,0.166
