"virusIndex","moldIndex","timestamp","deviceName","macAddress"
10,10,1656032400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656036000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656039600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656043200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656046800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656050400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656054000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656057600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656061200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656064800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656068400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656072000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656075600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656079200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656082800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656086400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656090000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656093600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656097200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656100800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656104400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656108000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656111600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656115200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656118800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656122400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656126000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656129600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656133200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656136800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656140400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656144000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656147600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656151200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656154800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656158400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656162000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656165600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656169200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656172800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656176400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656180000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656183600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656187200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656190800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656194400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656198000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656201600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656205200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656208800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656212400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656216000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656219600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656223200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656226800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656230400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656234000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656237600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656241200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656244800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656248400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656252000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656255600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656259200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656262800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656266400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656270000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656273600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656277200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656280800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656284400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656288000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656291600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656295200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656298800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656302400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656306000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656309600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656313200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656316800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656320400,"uHoo 1 (DA82)","e415f654da82"
