"estimate","std.error","statistic","p.value","term","conf.low","conf.high","exposure","outcome","model"
1.00490612547212,0.0836779929992683,0.0584876558631494,0.953360194857269,"log_dist_road",0.852898494663846,1.18400528002971,"log_dist_road","DC binary","Fully adjusted"
0.961120300016393,0.00940153434204226,-4.21800253923477,2.46476044432099e-05,"age_n",0.943571907946584,0.978995054138359,"log_dist_road","DC binary","Fully adjusted"
0.583023577398118,0.285543540250978,-1.88947594986375,0.0588280824066948,"sexMasculino",0.333139822135963,1.02034181810714,"log_dist_road","DC binary","Fully adjusted"
0.618693316023776,0.446402627106979,-1.07558860680112,0.282111285041832,"ses_levelNSE D",0.257922860547735,1.48409264103076,"log_dist_road","DC binary","Fully adjusted"
0.53289243863341,0.340090463138669,-1.8507889726223,0.0641999181256395,"ses_levelNSE C",0.273620549940448,1.03783999854714,"log_dist_road","DC binary","Fully adjusted"
0.297689689240984,0.350309518447371,-3.4589515342327,0.000542282474155308,"ses_levelNSE B",0.14982155858792,0.591497992115663,"log_dist_road","DC binary","Fully adjusted"
0.363014126846656,0.537874493413615,-1.88392188317131,0.0595755427207517,"ses_levelNSE A",0.126495627626124,1.04176925924849,"log_dist_road","DC binary","Fully adjusted"
1.02523309701734,0.0186611804530903,1.33539239509082,0.181747952480658,"bmi",0.988411751790136,1.06342614939177,"log_dist_road","DC binary","Fully adjusted"
0.54581754464011,0.346414579882388,-1.74782056406213,0.0804951032915519,"education_catprimary",0.276804692425276,1.07627074319696,"log_dist_road","DC binary","Fully adjusted"
0.100130424234838,0.403346506014648,-5.70547077045299,1.16021967207616e-08,"education_catsecondary_or_higher",0.045418269080648,0.220750417406826,"log_dist_road","DC binary","Fully adjusted"
1.00859639616166,0.238953575799536,0.0358214247929422,0.971424749514404,"civil_stat_catsingle",0.631416638768268,1.61108629055882,"log_dist_road","DC binary","Fully adjusted"
0.874671160867339,0.316997719379776,-0.42242347886515,0.672715943405054,"civil_stat_catseparated_widowed",0.46990590361459,1.62809114286102,"log_dist_road","DC binary","Fully adjusted"
1.32348500853995,0.233149893074151,1.20209540649067,0.229326565882644,"occupation_cathomemaker",0.838026651809558,2.09016331884879,"log_dist_road","DC binary","Fully adjusted"
0.860976619945611,0.318393056931063,-0.470135658423675,0.638258099406132,"occupation_catnot_employed",0.461285408101186,1.60698935425758,"log_dist_road","DC binary","Fully adjusted"
1.42554892750275,0.240650040681239,1.47333011382152,0.140662044487193,"htn_cathypertension",0.889481004013321,2.28469156230998,"log_dist_road","DC binary","Fully adjusted"
1.04595506903245,0.246735681382409,0.182099360062166,0.855504750933275,"glucose_catPrediabetes",0.644892575399662,1.69644069131464,"log_dist_road","DC binary","Fully adjusted"
1.04939040555994,0.271798499451478,0.177371948482272,0.859216239813605,"glucose_catDiabetes",0.615995494571524,1.78770824297545,"log_dist_road","DC binary","Fully adjusted"
0.927721075039378,0.227751749846293,-0.329411989658983,0.741844306612042,"chronic_disSí",0.593678360588392,1.44971831585577,"log_dist_road","DC binary","Fully adjusted"
-0.544992599025845,0.309958499595024,-1.75827602642904,0.0791356655354292,"log_dist_road",-1.15251125823209,0.0625260601804017,"log_dist_road","ACE","Fully adjusted"
-0.174480725829725,0.0445907336297968,-3.91293687334922,0.000100038812691531,"age_n",-0.261878563744127,-0.0870828879153232,"log_dist_road","ACE","Fully adjusted"
1.27404380896893,0.907220343793666,1.40433778594662,0.160659930158492,"sexMasculino",-0.504108064866653,3.05219568280452,"log_dist_road","ACE","Fully adjusted"
0.712351186653765,2.53446235809065,0.281065995862893,0.778742483904926,"ses_levelNSE D",-4.2551950352039,5.67989740851143,"log_dist_road","ACE","Fully adjusted"
3.48598351728509,1.85262912460725,1.88164132312456,0.0602976701311507,"ses_levelNSE C",-0.14516956694512,7.11713660151529,"log_dist_road","ACE","Fully adjusted"
6.52675675343214,1.79733777494273,3.63134678657722,0.000302434768119881,"ses_levelNSE B",3.00397471454439,10.0495387923199,"log_dist_road","ACE","Fully adjusted"
7.31374199508938,2.03157481537775,3.60003576522457,0.000340536767767512,"ses_levelNSE A",3.331855356949,11.2956286332298,"log_dist_road","ACE","Fully adjusted"
-0.0201124046469552,0.0684323099312035,-0.29390217380028,0.768919406923066,"bmi",-0.154239732112114,0.114014922818204,"log_dist_road","ACE","Fully adjusted"
18.1158460258397,4.78446870011737,3.78638615096285,0.000165913839762831,"education_catprimary",8.7382873736096,27.4934046780697,"log_dist_road","ACE","Fully adjusted"
27.2437732790271,4.7124538132702,5.78122870983032,1.11521153560555e-08,"education_catsecondary_or_higher",18.0073638050175,36.4801827530367,"log_dist_road","ACE","Fully adjusted"
0.12957744621641,0.86728408672885,0.149405999947652,0.881276127987745,"civil_stat_catsingle",-1.57029936377214,1.82945425620496,"log_dist_road","ACE","Fully adjusted"
0.459760398041797,1.24053826587056,0.370613636588755,0.711036966242537,"civil_stat_catseparated_widowed",-1.9716946030645,2.8912153991481,"log_dist_road","ACE","Fully adjusted"
-1.05475692748445,0.851433802630264,-1.2388008606495,0.215832716047674,"occupation_cathomemaker",-2.72356718063976,0.614053325670869,"log_dist_road","ACE","Fully adjusted"
-0.81472673309475,1.29552724503165,-0.628876572236694,0.529634145905853,"occupation_catnot_employed",-3.35396013335678,1.72450666716728,"log_dist_road","ACE","Fully adjusted"
-2.32839523673876,0.991432502466161,-2.34851614300211,0.0191244449727701,"htn_cathypertension",-4.27160294157244,-0.385187531905087,"log_dist_road","ACE","Fully adjusted"
